utopia,crime_total,crime_per_km2,crime_atm_customer_robbery_with_violence,crime_business_robbery_with_violence,crime_cargo_transporter_robbery,crime_delivery_worker_robbery,crime_home_burglary_with_violence,crime_intentional_homicide,crime_intentional_injury_by_firearm,crime_kidnapping,crime_low_impact_crime,crime_metro_passenger_robbery,crime_microbus_passenger_robbery,crime_pedestrian_robbery_on_public_road,crime_rape,crime_taxi_passenger_robbery_with_violence,crime_vehicle_theft,crime_violent,violent_share
atzintli,2208,550.5225447364321,3,45,0,4,1,9,5,0,1919,0,12,110,39,2,59,104,0.04710144927536232
barco,1508,420.2416603391082,0,3,2,12,4,10,8,0,1307,0,6,69,16,0,71,41,0.027188328912466843
cuauhtlicalli,1631,456.78107740388253,2,6,0,5,3,2,4,0,1466,3,2,39,14,5,80,36,0.022072348252605765
ixtapalcalli,2694,514.2403031606856,4,33,0,17,6,14,10,0,2388,19,9,94,26,0,74,93,0.034521158129175944
la_cascada,1162,300.7719667694676,3,6,0,19,5,10,4,0,989,0,5,65,14,1,41,43,0.03700516351118761
libertad,2381,587.2540323772076,1,19,0,16,2,20,5,0,2129,0,13,74,29,1,72,77,0.03233935321293574
meyehualco,1829,417.8857013671603,1,19,0,10,3,9,9,0,1616,0,12,70,21,4,55,66,0.03608529250956807
olini,3593,528.3118156826382,6,22,0,62,7,25,10,0,3040,16,20,256,29,5,95,104,0.028945171166156414
papalotl,1787,493.89928427508016,2,25,0,7,5,7,11,0,1555,0,13,85,28,0,49,78,0.04364857302742026
quetzalcoatl,2816,486.209290915507,1,37,0,31,5,37,15,1,2291,0,18,184,32,2,162,130,0.04616477272727273
tecoloxtitlan,1260,353.7849683200867,0,20,0,6,5,9,3,0,1095,0,0,54,25,1,42,63,0.05
teotongo,1070,289.96672471669746,0,9,1,9,1,5,5,0,885,6,8,82,19,0,40,39,0.03644859813084112
tezontli,2355,606.2863118662244,7,21,0,15,2,20,6,0,2032,6,27,92,38,1,88,95,0.040339702760084924
