clean_category,n_utopias_with_category,rarity_score,infra_score,distinctiveness_weight,domain
Scientific Research Center,1,0.9230769230769231,3,2.769230769230769,Education & Technology
Interactive Virtual Aquarium,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
Dinosaur Theme Park,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
Planetarium,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
Observatory,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
Navigation Simulator,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
Immersive Experience Room,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
Ice Rink,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
BMX Track,1,0.9230769230769231,3,2.769230769230769,Combat & Extreme Sports
Axolotl Sanctuary,1,0.9230769230769231,3,2.769230769230769,Nature & Biodiversity
Velodrome,1,0.9230769230769231,3,2.769230769230769,Team Sports & Athletics
Wave Pool,1,0.9230769230769231,3,2.769230769230769,Landmark Attraction
Design & Digital Arts School,2,0.8461538461538461,3,2.5384615384615383,Education & Technology
Airplane Library & Flight Simulator,2,0.8461538461538461,3,2.5384615384615383,Landmark Attraction
Interactive Farm,1,0.9230769230769231,2,1.8461538461538463,Nature & Biodiversity
Hockey,1,0.9230769230769231,2,1.8461538461538463,Team Sports & Athletics
Naval Shipyard Interactive,1,0.9230769230769231,2,1.8461538461538463,Landmark Attraction
Tennis & Mini-Golf Courts,1,0.9230769230769231,2,1.8461538461538463,Racquet & Court Sports
Geodesic Domes,1,0.9230769230769231,2,1.8461538461538463,Fitness
Orchid Garden,1,0.9230769230769231,2,1.8461538461538463,Nature & Biodiversity
Magic Fountain,1,0.9230769230769231,2,1.8461538461538463,Landmark Attraction
Spa,1,0.9230769230769231,2,1.8461538461538463,Wellness & Therapy
Digital Port,1,0.9230769230769231,2,1.8461538461538463,Landmark Attraction
Cinema Space,1,0.9230769230769231,2,1.8461538461538463,Performing Arts & Culture
Athletics Track (400 m),1,0.9230769230769231,2,1.8461538461538463,Team Sports & Athletics
Robotics Workshops,1,0.9230769230769231,2,1.8461538461538463,Education & Technology
Climate Change Museum,1,0.9230769230769231,2,1.8461538461538463,Landmark Attraction
Chinampa,1,0.9230769230769231,2,1.8461538461538463,Nature & Biodiversity
Turtle Sanctuary,1,0.9230769230769231,2,1.8461538461538463,Nature & Biodiversity
Film School / Cinema Space,2,0.8461538461538461,2,1.6923076923076923,Performing Arts & Culture
Indoor Multi-Floor Gym,2,0.8461538461538461,2,1.6923076923076923,Fitness
Butterfly House,2,0.8461538461538461,2,1.6923076923076923,Nature & Biodiversity
Artificial Lake,3,0.7692307692307692,2,1.5384615384615383,Nature & Biodiversity
Climbing Wall,3,0.7692307692307692,2,1.5384615384615383,Combat & Extreme Sports
Temazcal,3,0.7692307692307692,2,1.5384615384615383,Wellness & Therapy
