name,nombre_oficial,clean_category,domain,n_utopias_with_category,rarity_score,infra_score,distinctiveness_weight
atzintli,Utopia Atzintli,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
atzintli,Utopia Atzintli,Skatepark,Combat & Extreme Sports,4,0.6923076923076923,2,1.3846153846153846
atzintli,Utopia Atzintli,Outdoor Gym,Fitness,5,0.6153846153846154,1,0.6153846153846154
atzintli,Utopia Atzintli,Dance School,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
atzintli,Utopia Atzintli,Music School,Performing Arts & Culture,6,0.5384615384615384,2,1.0769230769230769
atzintli,Utopia Atzintli,Open-Air Stage,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
atzintli,Utopia Atzintli,Multi-Sports Court,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
atzintli,Utopia Atzintli,Running Track,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
atzintli,Utopia Atzintli,Tai Chi,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
atzintli,Utopia Atzintli,Yoga,Wellness & Therapy,5,0.6153846153846154,1,0.6153846153846154
barco,Barco Utopía,Splash Pad & Water Play,Aquatics,4,0.6923076923076923,1,0.6923076923076923
barco,Barco Utopía,Design & Digital Arts School,Education & Technology,2,0.8461538461538461,3,2.5384615384615383
barco,Barco Utopía,Robotics Workshops,Education & Technology,1,0.9230769230769231,2,1.8461538461538463
barco,Barco Utopía,School Outreach,Education & Technology,1,0.9230769230769231,1,0.9230769230769231
barco,Barco Utopía,Climate Change Museum,Landmark Attraction,1,0.9230769230769231,2,1.8461538461538463
barco,Barco Utopía,Digital Port,Landmark Attraction,1,0.9230769230769231,2,1.8461538461538463
barco,Barco Utopía,Immersive Experience Room,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
barco,Barco Utopía,Interactive Virtual Aquarium,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
barco,Barco Utopía,Naval Shipyard Interactive,Landmark Attraction,1,0.9230769230769231,2,1.8461538461538463
barco,Barco Utopía,Navigation Simulator,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
barco,Barco Utopía,Observation Terrace,Landmark Attraction,1,0.9230769230769231,1,0.9230769230769231
barco,Barco Utopía,Auditorium,Performing Arts & Culture,8,0.3846153846153846,2,0.7692307692307692
barco,Barco Utopía,Open-Air Stage,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
barco,Barco Utopía,Outdoor Cinema,Performing Arts & Culture,1,0.9230769230769231,1,0.9230769230769231
