utopia_name,n_unique_visitors,n_total_stops,recurrence_rate,mean_distance_km,median_distance_km,distance_sem_km,weekend_distance_km,weekday_distance_km,weekend_distance_premium_km,mean_wealth,median_wealth,place_seg_S_a,pct_low_wealth,weekend_share,n_active_days,nombre_oficial,n_facilities,n_landmark,n_aquatics,avg_rarity,avg_infra,sum_distinctiveness,max_item_distinctiveness,distinctiveness_index,n_stops_1km,n_routes_1km,n_modes_1km,weekday_trips_1km,weekend_trips_1km,weekend_transit_ratio,peak_headway_min_1km,has_metro_1km,has_brt_1km,transit_score,crime_total,crime_per_km2,crime_violent,violent_share,crime_atm_customer_robbery_with_violence,crime_business_robbery_with_violence,crime_cargo_transporter_robbery,crime_delivery_worker_robbery,crime_home_burglary_with_violence,crime_intentional_homicide,crime_intentional_injury_by_firearm,crime_kidnapping,crime_low_impact_crime,crime_metro_passenger_robbery,crime_microbus_passenger_robbery,crime_pedestrian_robbery_on_public_road,crime_rape,crime_taxi_passenger_robbery_with_violence,crime_vehicle_theft,crime_z,transit_z,services_z,composite_score,crime_01,transit_01,services_01,safety_01,composite_crimeheavy,composite_transitheavy,composite_servicesheavy,access_gravity_raw,access_gravity,izta_share,_rad_routes,_rad_trips,_rad_modes,_rad_freq,_rad_wewd,typology
olini,2709.0,5428.0,0.35917312661498707,9.084254218513324,7.470766137142094,0.1073268283323827,9.642575073035067,8.835715222570737,0.8068598504643294,0.3693251413101816,0.3304769124279852,0.16057585825027687,0.19601328903654486,0.30803242446573326,184.0,Utopia Olini,14,2,2,0.7032967032967034,1.6428571428571428,17.076923076923077,2.769230769230769,1.2197802197802197,237,115,5,162784.76542364256,139151.45635684562,0.854818668041251,3.0,True,True,0.9372003501713722,3593,528.3118156826382,104,0.0289451711661564,6,22,0,62,7,25,10,0,3040,16,20,256,29,5,95,-0.17092799399220743,1.771174609584683,0.10098943074026001,0.6810306781057168,0.38877750869024424,1.0,0.5321249806652835,0.6112224913097557,0.5535050070773395,0.9535666609754584,0.5360203662643526,293.1946318384688,0.7999682162652042,0.39959469417833454,0.8740011680455058,1.0,0.75,0.5,0.34166680683606043,Flagship destinations
meyehualco,1231.0,9949.0,0.9991876523151909,8.896331108917387,6.6832425241405495,0.07526657634829048,8.858999047620085,8.910257214587636,-0.05125816696755159,0.37391951620633607,0.3368348520833714,0.17627944760357434,0.1803411860276198,0.27168559654236607,182.0,Utopia Meyehualco,18,1,2,0.6752136752136751,1.6666666666666667,21.0,2.769230769230769,1.1666666666666667,203,41,4,79010.42366246498,65883.10724582797,0.8338533599982033,3.0,False,False,0.3981726828528638,1829,417.8857013671603,66,0.036085292509568,1,19,0,10,3,9,9,0,1616,0,12,70,21,4,55,-0.2874490863148123,-0.24505028702411258,0.49865112778299947,0.1803499756912331,0.332001023086267,0.40909070335968434,0.6725742947846477,0.667998976913733,0.20712475334712788,0.07399991001239666,0.2599252637141747,289.20260646563474,0.7405678288150159,0.4796461955975475,0.41163578978515697,0.7489398202135239,0.5,0.5,0.20582611162865672,Flagship destinations
teotongo,337.0,2022.0,0.9970326409495549,9.001434936571549,4.359085758285368,0.24024964629517118,12.167789507379256,7.913723765071493,4.254065742307763,0.2758272154947329,0.2306685924743919,0.27893175074183973,0.5133531157270029,0.25568743818001977,168.0,Utopia Teotongo,20,2,2,0.6,1.35,16.384615384615383,2.5384615384615383,0.8192307692307692,227,152,6,159342.18620027724,149627.98872117556,0.939035620693117,1.0,True,False,0.8977728158054538,1070,289.96672471669746,39,0.0364485981308411,0,9,1,9,1,5,5,0,885,6,8,82,19,0,40,-0.919269679163327,1.6236965092565034,0.11542097839667714,0.8861290556055027,0.02413785360239461,0.9567775496268544,0.5372220291994974,0.9758621463976054,0.8944142114949587,1.0705209190182527,0.6934520363032962,239.4324670803771,0.0,0.42334322453016815,1.0,0.992576053568044,1.0,1.0,0.8873344103355549,Connected neighborhood hubs
tezontli,100.0,827.0,0.98,4.804600795872359,1.1076236508641701,0.2341753796005688,3.2396025521463967,5.592790820439798,-2.353188268293401,0.30358321428760227,0.2790461005923093,0.2799999999999999,0.33,0.3349455864570738,133.0,Utopia Tezontli,14,0,3,0.6483516483516484,1.5,13.538461538461538,2.769230769230769,0.967032967032967,173,45,6,76857.50864357865,66300.77337961321,0.8626453621737654,3.0,True,True,0.7577150201431866,2355,606.2863118662244,95,0.0403397027600849,7,21,0,15,2,20,6,0,2032,6,27,92,38,1,88,0.9440202422016069,1.0998124274185503,-0.35748327309114075,-0.06723036262473242,0.9320511874691485,0.8032391349189502,0.3701979525546278,0.0679488125308515,-0.28642783251895104,0.22453033488608826,-0.1397935902413345,250.70646472351785,0.16775440173107986,0.6408706166868199,0.45303883030458136,0.7393445707190195,1.0,0.5,0.39237837138609993,Flagship destinations
la_cascada,98.0,581.0,0.9795918367346939,7.370701798376951,5.2666537264257896,0.300093049313403,5.943048173658152,7.828199891752748,-1.8851517180945958,0.3274849798161427,0.31951237239610597,0.38095238095238093,0.19387755102040816,0.24268502581755594,111.0,Utopia La Cascada Xicohtencatl,14,0,2,0.5109890109890111,1.2857142857142858,9.0,1.2307692307692308,0.6428571428571429,95,53,2,58009.14437229437,48703.61142480708,0.8395850680408986,3.0,False,False,0.350291888131922,1162,300.7719667694676,43,0.0370051635111876,3,6,0,19,5,10,4,0,989,0,5,65,14,1,41,-0.8290039206641832,-0.424147680792462,-0.9455243497444593,-0.18022270329091272,0.06812107102512117,0.356601362929571,0.16250893823878684,0.9318789289748788,0.07208395269786125,-0.24120394766630004,-0.3715481149042994,272.0997485375694,0.48608137330649914,0.41308089500860584,0.5260139152044458,0.6416257123642118,0.0,0.5,0.24296361533940183,Neighborhood spaces
quetzalcoatl,82.0,469.0,0.926829268292683,5.2060398939831165,1.6832072422257218,0.3581604349660996,3.5498795260882994,5.984798687664065,-2.4349191615757655,0.28868569199714605,0.217776435412009,0.19512195121951215,0.573170731707317,0.31982942430703626,102.0,Utopia Quetzalcoatl,22,1,2,0.6608391608391608,1.3636363636363635,19.76923076923077,2.5384615384615383,0.8986013986013986,192,26,4,63121.85023088023,51270.45227513227,0.8122457134510601,2.0,False,False,0.3144534208874951,2816,486.209290915507,130,0.0461647727272727,1,37,0,31,5,37,15,1,2291,0,18,184,32,2,162,0.6954863881201315,-0.5582009294391873,0.5063996096436972,-0.24909590263854053,0.8109496898167756,0.31731342882885677,0.6753109651023937,0.18905031018322438,-0.3606935240089383,-0.32637215933870223,-0.06022202456798109,260.15709917603004,0.3083775931440108,0.6886993603411514,0.21054903841871705,0.6709623649101327,0.5,0.75,0.06582350719599075,Under-connected attractions
libertad,51.0,353.0,0.9215686274509803,6.830007521361182,4.9890623340489695,0.3549263435844699,7.952501847582712,6.328565383827795,1.6239364637549176,0.37263230118727125,0.3594660823935807,0.2222222222222222,0.13725490196078433,0.3087818696883853,87.0,Utopía Libertad,24,2,2,0.733974358974359,1.6666666666666667,30.46153846153846,2.769230769230769,1.2692307692307692,137,25,3,36474.888333333336,31221.6486996337,0.8559765396485436,5.0,False,False,0.2271555867443257,2381,587.2540323772076,77,0.0323393532129357,1,19,0,16,2,20,5,0,2129,0,13,74,29,1,72,0.34396977588240435,-0.8847371673564128,1.4257091373414874,0.06566739803422343,0.6396684438512984,0.22161314311183097,1.0,0.3603315561487016,-0.03674189544493356,-0.1719337433134357,0.4056778328610394,275.65915282574457,0.5390444619802985,0.6770538243626062,0.19337267494084215,0.48047928114929966,0.25,0.0,0.3491690139952681,Under-connected attractions
atzintli,46.0,454.0,0.9347826086956522,1.918637560014293,0.40333963939076556,0.1932869972773709,0.8162892751339773,2.258554754487474,-1.4422654793534968,0.25216509901881035,0.2395440948150635,0.46376811594202905,0.41304347826086957,0.2356828193832599,68.0,Utopia Atzintli,10,0,1,0.5384615384615385,1.2,6.615384615384615,1.3846153846153846,0.6615384615384615,228,37,5,78880.64254329004,66276.9069184368,0.8402176349167508,2.0,False,False,0.4093364086121832,2208,550.5225447364321,104,0.0471014492753623,3,45,0,4,1,9,5,0,1919,0,12,110,39,2,59,1.0834700474139976,-0.20329253843427533,-1.4056446470193023,-0.897469077622525,1.0,0.42132894220397504,0.0,0.0,-0.9439693200703931,-0.7239249428254626,-1.0245129699717195,255.60574521189375,0.24065452937482573,0.9361233480176211,0.3660858448276334,0.7483688510353496,0.75,0.75,0.24706221117231336,Connected neighborhood hubs
ixtapalcalli,35.0,112.0,0.37142857142857144,5.453181058698538,2.9297032097937596,0.484751015975094,5.34181673294883,5.508120792735061,-0.16630405978623042,0.30899225267359054,0.2804935627719344,0.5142857142857142,0.2571428571428571,0.33035714285714285,67.0,Utopia Ixtapalcalli Quetzalcoatl,22,0,1,0.7062937062937062,1.5909090909090908,24.46153846153846,2.5384615384615383,1.111888111888112,212,55,4,102412.57308933322,82143.76078606481,0.8020866804548679,2.833333333333333,True,False,0.6644831136597757,2694,514.2403031606856,93,0.0345211581291759,4,33,0,17,6,14,10,0,2388,19,9,94,26,0,74,0.10738937689025349,0.7510798810071957,0.8932925830350181,0.5123276957173201,0.5243914296230752,0.7010336200172547,0.8119568959388562,0.47560857037692483,0.3573984275654267,0.572015742039789,0.6075689175467446,304.5397308729678,0.9687805897776433,0.7410714285714286,0.5425655433566146,0.8390448360893233,0.5,0.5416666666666667,0.0,Flagship destinations
cuauhtlicalli,21.0,91.0,0.9523809523809523,6.640984384944241,5.017726314691112,0.6538437879622049,6.404480610624722,6.757297716576791,-0.3528171059520693,0.3478294638413833,0.3357349574348571,0.2063492063492063,0.14285714285714285,0.32967032967032966,27.0,Utopia Cuauhtlicalli Aculco,15,0,2,0.5692307692307692,1.2666666666666666,10.153846153846152,1.0769230769230769,0.6769230769230768,87,22,5,28344.65835489969,24228.084903736613,0.8547672228177878,2.833333333333333,True,True,0.5341398142104555,1631,456.7810774038825,36,0.0220723482526057,2,6,0,5,3,2,4,0,1466,3,2,39,14,5,80,-0.9688072480733182,0.26353272639969927,-0.7602283501646319,0.15737054143612852,0.0,0.5581447256817722,0.22795324993283397,1.0,0.360229718095426,0.1839110876770212,-0.07202918146406156,306.6378430753011,1.0,0.7142857142857143,0.13757395351885257,0.39289209411090603,0.75,0.5416666666666667,0.341333477370737,Connected neighborhood hubs
